"country";"variable";"percentile";"year";"value";"age";"pop"
"IT";"tptincj992";"p0p11";2021;"6.4";992;"j"
"IT";"tptincj992";"p0p11";2022;"6.600000000000001";992;"j"
"IT";"tptincj992";"p0p11";2023;"6.7";992;"j"
"IT";"tptincj992";"p0p12";1820;"78.2";992;"j"
"IT";"tptincj992";"p0p12";1850;"72.9";992;"j"
"IT";"tptincj992";"p0p12";1880;"90.10000000000001";992;"j"
"IT";"tptincj992";"p0p12";1900;"91.80000000000001";992;"j"
"IT";"tptincj992";"p0p12";1910;"96.9";992;"j"
"IT";"tptincj992";"p0p12";1920;"77.30000000000001";992;"j"
"IT";"tptincj992";"p0p12";1930;"71.10000000000001";992;"j"
"IT";"tptincj992";"p0p12";1940;"84.7";992;"j"
"IT";"tptincj992";"p0p12";1950;"125";992;"j"
"IT";"tptincj992";"p0p12";1960;"225";992;"j"
"IT";"tptincj992";"p0p12";1970;"369.7";992;"j"
"IT";"tptincj992";"p0p12";1980;"52.1";992;"j"
"IT";"tptincj992";"p0p12";1981;"54.8";992;"j"
"IT";"tptincj992";"p0p12";1982;"53.90000000000001";992;"j"
"IT";"tptincj992";"p0p12";1983;"57.5";992;"j"
"IT";"tptincj992";"p0p12";1984;"59.7";992;"j"
"IT";"tptincj992";"p0p12";1985;"63.2";992;"j"
"IT";"tptincj992";"p0p12";1986;"68.10000000000001";992;"j"
"IT";"tptincj992";"p0p12";1987;"32.7";992;"j"
"IT";"tptincj992";"p0p12";1988;"36.2";992;"j"
"IT";"tptincj992";"p0p12";1989;"39.7";992;"j"
"IT";"tptincj992";"p0p12";1990;"23.7";992;"j"
"IT";"tptincj992";"p0p12";1991;"35.4";992;"j"
"IT";"tptincj992";"p0p12";1992;"19.2";992;"j"
"IT";"tptincj992";"p0p12";1993;"24.9";992;"j"
"IT";"tptincj992";"p0p12";1994;"10.3";992;"j"
"IT";"tptincj992";"p0p12";1995;"9.4";992;"j"
"IT";"tptincj992";"p0p12";1996;"6.100000000000001";992;"j"
"IT";"tptincj992";"p0p12";1997;"9.9";992;"j"
"IT";"tptincj992";"p0p12";1998;"4.9";992;"j"
"IT";"tptincj992";"p0p12";1999;"7.600000000000001";992;"j"
"IT";"tptincj992";"p0p12";2000;"7.300000000000001";992;"j"
"IT";"tptincj992";"p0p12";2001;"6";992;"j"
"IT";"tptincj992";"p0p12";2002;"7.100000000000001";992;"j"
"IT";"tptincj992";"p0p12";2003;"4.800000000000001";992;"j"
"IT";"tptincj992";"p0p12";2004;"0";992;"j"
"IT";"tptincj992";"p0p12";2005;"8.4";992;"j"
"IT";"tptincj992";"p0p12";2006;"8.8";992;"j"
"IT";"tptincj992";"p0p12";2007;"17.9";992;"j"
"IT";"tptincj992";"p0p12";2008;"12.1";992;"j"
"IT";"tptincj992";"p0p12";2009;"10.1";992;"j"
"IT";"tptincj992";"p0p12";2010;"8.1";992;"j"
"IT";"tptincj992";"p0p12";2011;"7.600000000000001";992;"j"
"IT";"tptincj992";"p0p12";2012;"6.9";992;"j"
"IT";"tptincj992";"p0p12";2013;"5.9";992;"j"
"IT";"tptincj992";"p0p12";2014;"4.2";992;"j"
"IT";"tptincj992";"p0p12";2015;"4.3";992;"j"
"IT";"tptincj992";"p0p12";2016;"12.8";992;"j"
"IT";"tptincj992";"p0p12";2017;"17";992;"j"
"IT";"tptincj992";"p0p12";2018;"10.3";992;"j"
"IT";"tptincj992";"p0p12";2019;"10.7";992;"j"
"IT";"tptincj992";"p0p12";2020;"11.1";992;"j"
"IT";"tptincj992";"p0p12";2021;"12.1";992;"j"
"IT";"tptincj992";"p0p12";2022;"12.6";992;"j"
"IT";"tptincj992";"p0p12";2023;"12.7";992;"j"
"IT";"tptincj992";"p0p13";1820;"86.4";992;"j"
"IT";"tptincj992";"p0p13";1850;"80.5";992;"j"
"IT";"tptincj992";"p0p13";1880;"99.2";992;"j"
